"file","year","page_from","page_to","project_label","project_type_label","n","# SECTION 1: ABOUT THE PROJECT","# SECTION 2: PROJECT COSTS","# SECTION 3: PROJECT TIMESCALE","# SECTION 4: KEY USER REQUIREMENTS","# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL","# SECTION 1: ABOUT THE REQUIREMENT","# SECTION 2: THE ASSESSMENT PHASE","# SECTION 4: KEY USER REQUIREMENTS REVISED","# B. Section B: Cost","# C. Section C: Timescale","# D. Section D: Performance","# A. Section A: The Project","# A. Section A: The Project (2)","# D. Section D: Performance – Not Applicable","# E. Section E: Cancellation","NA"
"naomprss_2009_318_321.md",2009,318,321,"Maritime, Airborne, Surveillance & Control (MASC)","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,128,103,6,152,NA,NA,NA,NA
"naomprss_2009_322_325.md",2009,322,325,"Military Afloat Reach and Sustainability","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,99,67,6,NA,NA,NA,NA,NA
"naomprss_2009_326_328.md",2009,326,328,"Search and Rescue Helicopter","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,114,93,6,136,NA,NA,NA,NA
"naomprss_2009_329_332.md",2009,329,332,"United Kingdom Co-operative Engagement Capability Frigate  and Destroyers Programme","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,102,83,6,167,NA,NA,NA,NA
"naomprss_2009_55_62.md",2009,55,62,"Attack Helicopter","Support Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,166,230,499,107,NA,NA,NA,NA
"naomprss_2009_63_70.md",2009,63,70,"Hercules","Support Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,179,220,436,90,NA,NA,NA,NA
"naomprss_2009_71_87.md",2009,71,87,"Nimrod MRA4","Support Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,608,532,799,190,NA,NA,NA,NA
"naomprss_2009_88_94.md",2009,88,94,"Skynet 5","Support Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,266,612,440,73,NA,NA,NA,NA
"naomprss_2009_95_102.md",2009,95,102,"Tornado","Support Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,223,273,401,78,NA,NA,NA,NA
"naomprss_2010_111_119.md",2010,111,119,"Future Strategic Tanker Aircraft (Voyager)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,342,359,515,159,NA,NA,NA,NA
"naomprss_2010_120_130.md",2010,120,130,"Joint Combat Aircraft (Lightning II)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,432,114,552,157,NA,NA,NA,NA
"naomprss_2010_131_141.md",2010,131,141,"Lynx Wildcat","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,434,398,891,191,NA,NA,NA,NA
"naomprss_2010_142_148.md",2010,142,148,"Merlin Capability Sustainment Programme","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,317,245,375,192,NA,NA,NA,NA
"naomprss_2010_149_165.md",2010,149,165,"Nimrod MRA4","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,414,1315,NA,109,NA,NA,NA,NA
"naomprss_2010_166_176.md",2010,166,176,"Queen Elizabeth Class Aircraft Carriers","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,801,NA,428,245,NA,NA,NA,NA
